fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month
0,0.3,0.986506310633034,-1,25,40,0.0067353870811739,102.45371092469456,AA,1059,13096.035018400871,7850.955007125409,6742.080561007602,5,5,CB,163,1,BC,0,1,9,0,1500.0,0,INTERNET,16.224843433978073,linux,1,1,0,0
0,0.8,0.6174260062650061,-1,89,20,0.010095097878573,-0.8495509687507287,AD,1658,9223.283430930423,5745.251480643791,5941.6648588359885,3,18,CA,154,1,BC,1,1,2,0,1500.0,0,INTERNET,3.36385371062431,other,1,1,0,0
0,0.8,0.9967070206409232,9,14,40,0.0123163495250501,-1.4903855214855013,AB,1095,4471.472148765561,5471.988958014066,5992.555113248597,15,11,CA,89,1,BC,0,1,30,0,200.0,0,INTERNET,22.73055923496224,windows,0,1,0,0
0,0.6000000000000001,0.4750999462380287,11,14,30,0.0069908306305029,-1.8631006767118188,AB,3483,14431.993621381194,6755.34447929092,5970.336830507939,11,13,CA,90,1,BC,0,1,1,0,200.0,0,INTERNET,15.215816122068803,linux,1,1,0,0
0,0.9,0.8423068370138775,-1,29,40,5.742625847255586,47.152497798787614,AA,2339,7601.511579253147,5124.046929628144,5940.734211620649,1,6,CA,91,0,BC,1,1,26,0,200.0,0,INTERNET,3.743047928033851,other,0,1,0,0
0,0.6000000000000001,0.2948404635987846,-1,369,30,0.024231885459018,-1.232556198255754,AD,1204,11556.955513727777,7506.951275553085,6482.924037404599,705,5,CB,134,1,BE,1,1,30,0,200.0,0,INTERNET,6.987315503150867,linux,1,1,0,0
0,0.2,0.7730854651787792,22,4,40,0.0069193596555432,-0.5446764953031848,AB,1998,11723.993606010376,7864.277143635152,6338.799156196561,28,8,CA,72,1,BC,1,1,1,0,200.0,0,INTERNET,28.19992278516053,x11,1,1,0,0
0,0.8,0.153880432777335,-1,103,40,0.0451218390683624,-1.1011844334405805,AB,1548,4999.555800752307,4526.861667090668,6426.790816709525,6,7,CA,163,0,BE,1,1,25,1,200.0,0,INTERNET,11.23426418538036,other,1,1,0,0
0,0.3,0.5236546591292989,21,2,30,0.0352056883298541,-0.9557372072420892,AB,1781,6979.9940022111805,4335.68534636426,6624.957941677998,2,10,CA,35,0,BC,1,0,2,0,200.0,0,INTERNET,5.329386683741856,other,1,1,0,0
0,0.8,0.8344745881003516,-1,134,20,0.0172445227162768,-1.3563931999585843,AD,3113,7549.992085884615,6273.922109554705,6312.998834706559,14,20,CA,201,1,BD,1,1,15,0,1500.0,0,INTERNET,4.103969778315406,other,1,1,0,0
