fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month
0,0.1,0.52110264061156,-1,237,70,0.0204904296052963,-0.813994372596491,AB,950,4573.95432832734,3427.33055008428,4911.90354041008,1,0,CC,160,0,BB,1,1,-1,0,500.0,0,INTERNET,5.28845115779507,windows,1,1,0,3
0,0.9,0.795360466657976,24,5,50,3.03651233054232,-1.26916877626179,AC,978,6431.93703710212,4670.47033338935,4786.30630445558,0,0,CA,151,1,BC,1,1,-1,0,200.0,0,INTERNET,29.7137597130814,linux,1,1,0,3
0,0.3,0.794870212751077,-1,123,50,2.90902243640294,-0.399661965378328,AC,883,6611.13570555894,5244.64957142385,4775.93615291143,1,0,CC,176,0,BC,1,1,-1,0,1500.0,0,INTERNET,13.1703512931484,linux,1,1,0,3
0,0.6,0.644579626221427,-1,72,50,0.0285852992282244,-1.51253097330532,AC,2457,4293.2165874236,6646.38678732559,4718.85985596763,1,0,CA,276,0,BC,1,1,-1,1,1500.0,0,TELEAPP,5.38261629631508,other,0,1,0,3
0,0.9,0.246966949687101,-1,311,70,0.0298710653982985,-1.45000383056668,AC,1641,5431.38146892094,6152.9360183882,4903.26172465502,1,0,CC,91,0,BB,1,1,-1,0,500.0,0,INTERNET,8.48570182972097,linux,0,1,0,3
1,0.9,0.143272861766088,-1,191,50,0.0031542855878683,-1.32917979278869,AC,1619,4144.08391633037,4816.35408469936,4956.61795130354,0,0,CA,249,1,BA,0,1,-1,0,1500.0,1,INTERNET,3.70782499848512,windows,0,1,0,3
0,0.6,0.456781315183034,-1,352,60,0.413314954489445,-1.40456747484109,AC,1386,6886.97048119489,4846.42157527933,4690.26083929541,1,0,CC,117,1,BB,1,0,-1,1,1500.0,0,INTERNET,7.03552419104283,linux,0,1,0,3
0,0.6,0.990324558082642,-1,44,50,0.0184422314585993,-1.29998607225474,AC,1113,6523.14800941844,4751.66844202487,4811.57068371234,1,0,CC,179,0,BB,1,1,-1,1,200.0,0,TELEAPP,1.46760367633148,other,0,2,0,3
0,0.1,0.151551539065886,-1,366,60,0.750389852375899,-1.84162324838879,AC,1020,5112.83006220255,5860.1994758179,4994.34586211922,1,0,CC,163,1,BB,1,0,-1,0,200.0,0,INTERNET,7.68054752500646,windows,1,1,0,3
0,0.7,0.164004915824935,-1,378,50,0.0133357605589063,-0.7186966610413,AC,611,7403.91713777734,4474.00984125492,4989.90304280523,0,0,CA,327,1,BA,1,1,-1,0,1500.0,0,INTERNET,6.69587001480518,windows,1,1,0,3
